family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
Aurora,fire_prone,7,shallow,shallow spatial adapter,0.018246580028371893,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,7,shallow_wide,wide shallow adapter,0.014107951927070428,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,global,99,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,global,99,linear,linear probe,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.05,identity
Aurora,global,99,pixel_mlp,pixel MLP head,0.0003416774254735987,0.0,0.0,0.0,0.05,identity
Aurora,global,99,shallow,shallow spatial adapter,0.00027369530027179415,0.00048500701355756607,0.07403574573189557,0.1125073134469834,0.0002,erode_r1
Aurora,global,99,shallow_wide,wide shallow adapter,0.00018435572706130898,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,fire_prone,99,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,99,linear,linear probe,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.05,identity
Aurora,fire_prone,99,pixel_mlp,pixel MLP head,0.02558605891782626,0.0,0.0,0.0,0.05,identity
Aurora,fire_prone,99,shallow,shallow spatial adapter,0.022977585108618796,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,99,shallow_wide,wide shallow adapter,0.015655744241336807,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,global,1,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,1,linear,linear probe,0.0002535597422470116,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,1,pixel_mlp,pixel MLP head,0.0002325183190082463,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,1,shallow,shallow spatial adapter,0.00023825369397771856,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
ClimaX,global,1,shallow_wide,wide shallow adapter,0.0002576240965656369,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,fire_prone,1,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,1,linear,linear probe,0.02266235842125272,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,1,pixel_mlp,pixel MLP head,0.021355980128684084,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
